번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1.0,3급,가꾸다,동사,정원을 가꾸다
2.0,3급,가난,명사,가난을 겪다
3.0,3급,가능,명사,주차 가능
4.0,3급,가득하다,형용사,물이 가득하다
5.0,3급,가득히,부사,가득히 넣다
6.0,3급,가렵다,형용사,몸이 가렵다
7.0,3급,가로01/가로02,명사/부사,가로와 세로
8.0,3급,가루,명사,가루로 만들다
9.0,3급,가리다02,동사,얼굴을 가리다
10.0,3급,가스,명사,가스 요금
11.0,3급,가스레인지,명사,가스레인지를 켜다
12.0,3급,가습기,명사,가습기를 켜다
13.0,3급,가입,명사,회원 가입
14.0,3급,가입자,명사,신규 가입자
15.0,3급,가전제품,명사,가전제품을 구매하다
16.0,3급,가정01,명사,가정을 이루다
17.0,3급,가죽,명사,가죽 잠바
18.0,3급,각01,관형사,각 개인
19.0,3급,각자01/각자02,명사/부사,각자가 맡다
20.0,3급,간01,명사,간을 보다
21.0,3급,간판,명사,간판을 걸다
22.0,3급,간호,명사,간호를 받다
23.0,3급,갈다01,동사,전구를 갈다
24.0,3급,갈증,명사,갈증이 나다
25.0,3급,-감,접사,책임감
26.0,3급,감각,명사,감각이 없다
27.0,3급,감다03,동사,붕대를 감다
28.0,3급,감독,명사,감독을 강화하다
29.0,3급,감동,명사,감동을 받다
30.0,3급,감동적01/감동적02,관형사/명사,감동적 이야기
31.0,3급,감상03,명사,음악 감상
32.0,3급,감정01,명사,감정이 풍부하다
33.0,3급,강물,명사,강물이 흐르다
34.0,3급,강사02,명사,시간 강사
35.0,3급,개나리,명사,개나리가 피다
36.0,3급,개다01,동사,날씨가 개다
37.0,3급,개인,명사,개인의 자유
38.0,3급,개인적01/개인적02,관형사/명사,개인적 감정
39.0,3급,걔,줄어든꼴,그 아이
40.0,3급,거꾸로,부사,거꾸로 뒤집히다
41.0,3급,거스름돈,명사,거스름돈을 받다
42.0,3급,거품,명사,거품이 나다
43.0,3급,건널목,명사,건널목을 건너다
44.0,3급,건조02,명사,건조 기후
45.0,3급,걸레,명사,걸레로 닦다
46.0,3급,검다,형용사,색깔이 검다
47.0,3급,검색,명사,인터넷 검색
48.0,3급,검토,명사,서류 검토
49.0,3급,겁,명사,겁이 많다
50.0,3급,겉옷,명사,겉옷을 벗다
51.0,3급,게시,명사,안내문 게시
52.0,3급,게시판,명사,게시판에 붙이다
53.0,3급,겨우,부사,겨우 몇 개
54.0,3급,결국02/결국01,명사/부사,결국 해내다
55.0,3급,결제,명사,카드 결제
56.0,3급,경기장,명사,실내 경기장
57.0,3급,경복궁,명사,경복궁에 가다
58.0,3급,경비01,명사,여행 경비
59.0,3급,경비실,명사,아파트 경비실
60.0,3급,경우,명사,그런 경우
61.0,3급,경제,명사,경제 개발
62.0,3급,경제적01/경제적02,관형사/명사,경제적 능력
63.0,3급,경찰관,명사,교통 경찰관
64.0,3급,곁01,명사,곁에 있다
65.0,3급,계곡,명사,계곡에서 놀다
66.0,3급,계약,명사,계약을 맺다
67.0,3급,계약금,명사,계약금을 받다
68.0,3급,계좌,명사,계좌 번호
69.0,3급,고객,명사,고객을 맞다
70.0,3급,고구마,명사,고구마를 먹다
71.0,3급,고궁,명사,고궁을 산책하다
72.0,3급,고백,명사,사랑 고백
73.0,3급,고생,명사,고생이 심하다
74.0,3급,고속,명사,고속 도로
75.0,3급,고추,명사,고추를 따다
76.0,3급,고춧가루,명사,고춧가루를 뿌리다
77.0,3급,곤란,명사,곤란한 질문
78.0,3급,곧이어,부사,곧이어 시작하다
79.0,3급,곧장,부사,곧장 가다
80.0,3급,골고루,부사,골고루 먹다
81.0,3급,골목,명사,좁은 골목
82.0,3급,골목길,명사,골목길을 걷다
83.0,3급,골프,명사,골프 선수
84.0,3급,곰,명사,동물
85.0,3급,곱다01,형용사,고운 얼굴
86.0,3급,곱하다,동사,수를 곱하다
87.0,3급,곳곳,명사,전국 곳곳
88.0,3급,공03,명사,숫자
89.0,3급,공간,명사,공간을 차지하다
90.0,3급,공공,명사,공공 기관
91.0,3급,공공장소,명사,공공장소를 이용하다
92.0,3급,공과금,명사,공과금을 내다
93.0,3급,공기02,명사,공기가 맑다
94.0,3급,공동,명사,공동 개최
95.0,3급,공사01,명사,신축 공사
96.0,3급,공식,명사,공식 발표
97.0,3급,공연,명사,공연을 보다
98.0,3급,공연장,명사,공연장에 몰려들다
99.0,3급,공주,명사,공주와 왕자
100.0,3급,공중전화,명사,공중전화 박스
101.0,3급,공통,명사,공통 화제
102.0,3급,공통점,명사,공통점을 찾다
103.0,3급,공포02,명사,공포를 느끼다
104.0,3급,과02,명사,과를 옮기다
105.0,3급,과로,명사,과로로 쓰러지다
106.0,3급,과목,명사,시험 과목
107.0,3급,과식,명사,과식 습관
108.0,3급,과장02,명사,과장이 심하다
109.0,3급,과장03,명사,과장으로 승진하다
110.0,3급,과정01,명사,과정을 겪다
111.0,3급,과학,명사,과학 기술
112.0,3급,과학자,명사,과학자가 되다
113.0,3급,관객,명사,관객이 모여들다
114.0,3급,관계없다,형용사,관계없는 일
115.0,3급,관계없이,부사,시간에 관계없이
116.0,3급,관계있다,형용사,주제와 관련 있다
117.0,3급,관람,명사,연극 관람
118.0,3급,관람객,명사,영화 관람객
119.0,3급,관련,명사,관련이 있다
120.0,3급,관리02,명사,학생 관리
121.0,3급,관찰,명사,식물 관찰
122.0,3급,광경,명사,광경을 보다
123.0,3급,굉장히,부사,굉장히 좋아하다
124.0,3급,교시01,명사,1교시
125.0,3급,교외01,명사,교외로 나가다
126.0,3급,교통수단,명사,교통수단을 이용하다
127.0,3급,교통편,명사,교통편을 예약하다
128.0,3급,교포,명사,재일 교포
129.0,3급,구05,명사,행정 구역
130.0,3급,구경거리,명사,구경거리가 많다
131.0,3급,구멍,명사,구멍을 뚫다
132.0,3급,구수하다,형용사,맛이 구수하다
133.0,3급,구역,명사,금연 구역
134.0,3급,구입,명사,물품 구입
135.0,3급,구조02,명사,구조를 바꾸다
136.0,3급,구체적01/구체적02,관형사/명사,구체적 성과
137.0,3급,구하다01,동사,일자리를 구하다
138.0,3급,국가01,명사,민주 국가
139.0,3급,국기,명사,국기를 달다
140.0,3급,국내선,명사,국내선으로 갈아타다
141.0,3급,국립,명사,국립 미술관
142.0,3급,국물,명사,국물을 마시다
143.0,3급,국민,명사,국민 소득
144.0,3급,국어,명사,국어를 가르치다
145.0,3급,군대,명사,군대에 가다
146.0,3급,굶다,동사,밥을 굶다
147.0,3급,굽,명사,구두 굽
148.0,3급,권하다,동사,입원을 권하다
149.0,3급,귀하01/귀하02,명사/대명사,김철수 귀하
150.0,3급,규칙적01/규칙적02,관형사/명사,규칙적 생활
151.0,3급,그녀,대명사,
152.0,3급,그래도,줄어든말,그리하여도
153.0,3급,그램,의존명사,고기 백 그램
154.0,3급,그러다,동사,
155.0,3급,그룹,명사,스터디 그룹
156.0,3급,그만하다01,동사,일을 그만하다
157.0,3급,그저,부사,그저 웃기만 하다
158.0,3급,그제01,명사,그저께
,3급,그제02,부사,
159.0,3급,그중,명사,그중에서 제일
160.0,3급,근데,부사,
161.0,3급,근무,명사,근무를 마치다
162.0,3급,근육,명사,근육 운동
163.0,3급,금02,명사,요일
164.0,3급,금03,명사,금 목걸이
165.0,3급,금액,명사,금액을 지불하다
166.0,3급,금연,명사,금연 좌석
167.0,3급,긋다01,동사,선을 긋다
168.0,3급,긍정적01/긍정적02,관형사/명사,긍정적 태도
169.0,3급,-기07,접사,세탁기
170.0,3급,기계,명사,기계가 작동하다
171.0,3급,기관,명사,공공 기관
172.0,3급,기구01,명사,운동 기구
173.0,3급,기념,명사,결혼 기념
174.0,3급,기념품,명사,기념품을 사다
175.0,3급,기능02,명사,기능이 다양하다
176.0,3급,기다,동사,아기가 기다
177.0,3급,기대,명사,기대를 받다
178.0,3급,기대다01,동사,벽에 기대다
179.0,3급,기도02,명사,기도를 드리다
180.0,3급,기말시험,명사,기말시험을 보다
181.0,3급,기사01,명사,버스 기사
182.0,3급,기사02,명사,신문 기사
183.0,3급,기술자,명사,기술자를 양성하다
184.0,3급,기억력,명사,기억력이 좋다
185.0,3급,기업,명사,기업을 운영하다
186.0,3급,기준,명사,기준을 세우다
187.0,3급,기초,명사,기초를 다지다
188.0,3급,기타01,명사,기타 등등
189.0,3급,긴급,명사,긴급 구조
190.0,3급,긴팔,명사,긴팔을 입다
191.0,3급,길다01,동사,머리가 길다
192.0,3급,김01,명사,김이 나다
193.0,3급,까다01,동사,껍데기를 까다
194.0,3급,깔끔하다,형용사,방이 깔끔하다
195.0,3급,깜빡,부사,깜빡 켜지다
196.0,3급,깨지다,동사,유리가 깨지다
197.0,3급,꺼지다01,동사,불이 꺼지다
198.0,3급,껍질,명사,과일 껍질
199.0,3급,꼬리,명사,꼬리를 흔들다
200.0,3급,꼼짝,부사,꼼짝 못하다
201.0,3급,꽂다,동사,열쇠를 꽂다
202.0,3급,꽃무늬,명사,꽃무늬 커튼
203.0,3급,꽉,부사,꽉 누르다
204.0,3급,꽤,부사,꽤 멀다
205.0,3급,꾸준히,부사,꾸준히 노력하다
206.0,3급,꿀,명사,꿀을 넣다
207.0,3급,끈,명사,끈을 묶다
208.0,3급,끊기다,동사,도로가 끊기다
209.0,3급,끊어지다,동사,줄이 끊어지다
210.0,3급,끌다,동사,신발을 끌다
211.0,3급,끝내,부사,끝내 모르다
212.0,3급,끼01,명사,끼를 거르다
213.0,3급,끼다02,동사,구름이 끼다
214.0,3급,나르다,동사,이삿짐을 나르다
215.0,3급,나물01,명사,나물을 다듬다
216.0,3급,나뭇잎,명사,나뭇잎을 따다
217.0,3급,나빠지다,동사,건강이 나빠지다
218.0,3급,나아지다,동사,건강이 나아지다
219.0,3급,나이프,명사,나이프로 썰다
220.0,3급,나타내다,동사,모습을 나타내다
221.0,3급,낙엽,명사,낙엽을 태우다
222.0,3급,난로,명사,난로를 피우다
223.0,3급,난방,명사,난방과 냉방
224.0,3급,날아가다,동사,새가 날아가다
225.0,3급,낡다,형용사,옷이 낡다
226.0,3급,남02,명사,남자
227.0,3급,남03,명사,남쪽
228.0,3급,남미,명사,남미 대륙
229.0,3급,남부,명사,남부 지방
230.0,3급,낯설다,형용사,얼굴이 낯설다
231.0,3급,낳다01,동사,아기를 낳다
232.0,3급,내05,명사,기간 내
