번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,5급,가01,명사,강사
2,5급,가곡,명사,가곡을 듣다
3,5급,가공01,명사,식품 가공
4,5급,가구01,명사,가구 소득
5,5급,가급적01/ 가급적02,명사/부사,가급적 빨리
6,5급,가닥,명사,가닥을 잡다
7,5급,가로수,명사,가로수를 심다
8,5급,가면,명사,가면을 쓰다
9,5급,가문,명사,가문의 영광
10,5급,가부장적01∙가부장 적02,관형사∙ 명사,가부장적 사고
11,5급,가사01,명사,가사를 돌보다
12,5급,가속화,명사,성장 가속화
13,5급,가시01,명사,가시를 빼다
14,5급,가야금,명사,가야금을 연주하다
15,5급,가옥,명사,전통 가옥
16,5급,가요계,명사,가요계에 종사하다
17,5급,가장자리,명사,가장자리에 놓다
18,5급,가중,명사,책임 가중
19,5급,가창력,명사,가창력이 뛰어나다
20,5급,가축,명사,가축을 기르다
21,5급,가해자,명사,가해자를 처벌하다
22,5급,각광,명사,각광을 받다
23,5급,각지,명사,각지를 여행하다
24,5급,간접,명사,간접 광고
25,5급,간직00,명사,사진을 간직하다
26,5급,갈대,명사,갈대처럼 흔들리다
27,5급,감격,명사,감격의 눈물
28,5급,감사03,명사,국정 감사
29,5급,감상01,명사,감상에 젖다
30,5급,감상적01∙ 감상적02,관형사∙ 명사,감상적 노래
31,5급,감성,명사,감성이 풍부하다
32,5급,감성적01∙ 감성적02,관형사∙ 명사,감성적 사고
33,5급,감염,명사,세균 감염
34,5급,감정적01∙ 감정적02,관형사∙ 명사,감정적 문제
35,5급,감탄,명사,감탄이 나오다
36,5급,감탄사,명사,감탄사가 나오다
37,5급,갑01,명사,갑을 관계
38,5급,강국,명사,스포츠 강국
39,5급,강당,명사,강당에 모이다
40,5급,강대국,명사,강대국으로 발전하다
41,5급,강도02,명사,강도가 세다
42,5급,강력00,명사,강력 대처
43,5급,강산01,명사,강산을 지키다
44,5급,강연,명사,강연을 하다
45,5급,강우량,명사,강우량이 많다
46,5급,강자,명사,강자를 물리치다
47,5급,강좌,명사,강좌를 개설하다
48,5급,강풍,명사,강풍이 불다
49,5급,강화,명사,국력 강화
50,5급,개강,명사,개강 파티
51,5급,개개인,명사,개개인의 능력
52,5급,개막식,명사,월드컵 개막식
53,5급,개방적01∙ 개방적02,관형사∙ 명사,개방적 사고
54,5급,개봉,명사,편지 개봉
55,5급,개설,명사,강좌 개설
56,5급,개수,명사,개수를 세다
57,5급,개업,명사,식당 개업
58,5급,개요,명사,개요를 작성하다
59,5급,개인주의,명사,개인주의 성향
60,5급,개장,명사,해수욕장 개장
61,5급,개조01,명사,차량 개조
62,5급,개척,명사,황무지 개척
63,5급,개통,명사,도로 개통
64,5급,객석,명사,극장 객석
65,5급,객실,명사,객실을 예약하다
66,5급,거만,명사,거만을 떨다
67,5급,거부02,명사,참가 거부
68,5급,거액,명사,거액을 들이다
69,5급,거인,명사,거인같이 크다
70,5급,거주,명사,거주 구역
71,5급,거주자,명사,국내 거주자
72,5급,걱정거리,명사,걱정거리가 늘다
73,5급,건00/건01,명사/의존명사,서류 네 건
74,5급,건국,명사,조선의 건국
75,5급,건기,명사,건기와 우기
76,5급,건망증,명사,건망증에 걸리다
77,5급,건설업,명사,건설업에 종사하다
78,5급,건수,명사,사고 건수
79,5급,건의,명사,건의 사항
80,5급,건축가,명사,건축가가 되다
81,5급,건축물,명사,건축물을 세우다
82,5급,걸음걸이,명사,걸음걸이가 느리다
83,5급,검,명사,검으로 베다
84,5급,검진,명사,건강 검진
85,5급,겉보기,명사,겉보기와 다르다
86,5급,겨드랑이,명사,겨드랑이에 끼다
87,5급,격01/격02,명사/의존명사,격이 높다
88,5급,격식,명사,격식을 갖추다
89,5급,결말,명사,결말이 나다
90,5급,결별,명사,연인과 결별하다
91,5급,결승전,명사,결승전을 치르다
92,5급,결실,명사,결실을 맺다
93,5급,결재,명사,결재 서류
94,5급,결정적01∙ 결정적02,관형사∙ 명사,결정적 증거
95,5급,겹,명사,두 겹
96,5급,경과,명사,기한 경과
97,5급,경비02,명사,경비 아저씨
98,5급,경영자,명사,최고 경영자
99,5급,경영학,명사,경영학을 전공하다
100,5급,경위02,명사,경위를 조사하다
101,5급,경쟁률,명사,경쟁률이 높다
102,5급,경쟁적01∙ 경쟁적02,관형사∙ 명사,경쟁적 관계
103,5급,경제학,명사,경제학을 전공하다
104,5급,경조사,명사,경조사에 참여하다
105,5급,경주02,명사,자동차 경주
106,5급,경찰청,명사,지방 경찰청
107,5급,경품,명사,경품에 당첨되다
108,5급,경험담,명사,경험담을 이야기하다
109,5급,경호,명사,대통령 경호
110,5급,계00,명사,계모임
111,5급,계급,명사,계급이 높다
112,5급,계발,명사,자기 계발
113,5급,계열,명사,사회 계열
