번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,6급,가누다,동사,몸을 가누다
2,6급,가다듬다,동사,마음을 가다듬다
3,6급,가라앉히다,동사,찌꺼기를 가라앉히다
4,6급,가려내다,동사,불량품을 가려내다
5,6급,가로지르다,동사,도로를 가로지르다
6,6급,가로채다,동사,돈을 가로채다
7,6급,가하다01,동사,박차를 가하다
8,6급,간과하다,동사,문제를 간과하다
9,6급,감돌다,동사,긴장이 감돌다
10,6급,감하다,동사,월급을 감하다
11,6급,거듭나다,동사,새사람으로 거듭나다
12,6급,거르다01,동사,불순물을 거르다
13,6급,거르다02,동사,끼니를 거르다
14,6급,거스르다01,동사,명령을 거스르다
15,6급,거슬리다,동사,눈에 거슬리다
16,6급,걷잡다,동사,걷잡을 수 없다
17,6급,걸려들다,동사,덫에 걸려들다
18,6급,걸터앉다,동사,의자에 걸터앉다
19,6급,게을리하다,동사,일을 게을리하다
20,6급,겨누다,동사,총을 겨누다
21,6급,겨루다,동사,승부를 겨루다
22,6급,견주다,동사,실력을 견주다
23,6급,결정짓다,동사,승패를 결정짓다
24,6급,곁들이다,동사,양념을 곁들이다
25,6급,고다,동사,사골을 고다
26,6급,고사하다00,동사,1등은 고사하고
27,6급,곤두세우다,동사,신경을 곤두세우다
28,6급,곪다,동사,상처가 곪다
29,6급,구기다,동사,종이를 구기다
30,6급,구불구불하다00/구불구불하다,동사/형용사,길이 구불구불하다
31,6급,굴다,동사,귀찮게 굴다
32,6급,굴리다,동사,공을 굴리다
33,6급,굶주리다,동사,굶주린 배
34,6급,그르다01/ 그르다02,형용사/ 동사,그른 행동
35,6급,그릇되다,동사,그릇된 가치관
36,6급,기리다,동사,고인을 기리다
37,6급,기어가다,동사,바닥을 기어가다
38,6급,기어들다,동사,동굴로 기어들다
39,6급,기어오르다,동사,나무에 기어오르다
40,6급,기웃거리다,동사,방 안을 기웃거리다
41,6급,기인하다,동사,부주의에 기인하다
42,6급,길들이다,동사,강아지를 길들이다
43,6급,깃들다,동사,영혼이 깃들다
44,6급,까무러치다,동사,놀라서 까무러치다
45,6급,깨우치다,동사,원리를 깨우치다
46,6급,꺼리다,동사,공개를 꺼리다
47,6급,껴입다,동사,옷을 껴입다
48,6급,꼬이다02,동사,일이 꼬이다
49,6급,꼬집다,동사,볼을 꼬집다
50,6급,꾀하다,동사,변화를 꾀하다
51,6급,꿈틀거리다,동사,지렁이가 꿈틀거리다
52,6급,꿰다,동사,실을 꿰다
53,6급,꿰뚫다,동사,과녁을 꿰뚫다
54,6급,뀌다,동사,방귀를 끼다
55,6급,끌려가다,동사,경찰서에 끌려가다
56,6급,끓어오르다,동사,물이 끓어오르다
57,6급,끼얹다,동사,물을 끼얹다
58,6급,나부끼다,동사,깃발이 나부끼다
59,6급,날뛰다,동사,말이 날뛰다
60,6급,내걸다,동사,간판을 내걸다
61,6급,내던지다,동사,밖으로 내던지다
62,6급,내려서다,동사,바닥에 내려서다
63,6급,내몰다,동사,밖으로 내몰다
64,6급,내몰리다,동사,밖으로 내몰리다
65,6급,내뿜다,동사,물을 내뿜다
66,6급,내젓다,동사,팔을 내젓다
67,6급,내치다,동사,밖으로 내치다
68,6급,내키다,동사,마음이 내키다
69,6급,널리다,동사,빨래가 널리다
70,6급,넘나들다,동사,국경을 넘나들다
71,6급,넘보다,동사,안을 넘보다
72,6급,노리다01,동사,우승을 노리다
73,6급,노하다,동사,할아버지가 노하다
74,6급,녹슬다,동사,칼이 녹슬다
75,6급,녹아내리다,동사,얼음이 녹아내리다
76,6급,논하다,동사,인생을 논하다
77,6급,누비다,동사,옷을 누비다
78,6급,눈여겨보다,동사,행동을 눈여겨보다
79,6급,늘어뜨리다,동사,머리를 늘어뜨리다
80,6급,다그치다,동사,잘못을 다그치다
81,6급,다지다01,동사,땅을 다지다
82,6급,달구다,동사,프라이팬을 달구다
83,6급,달라붙다,동사,스티커가 달라붙다
84,6급,달아오르다,동사,냄비가 달아오르다
85,6급,대들다,동사,어른에게 대들다
86,6급,댕기다,동사,불을 댕기다
87,6급,더듬다,동사,손을 더듬다
88,6급,덜렁대다,동사,성격이 덜렁대다
89,6급,덤벼들다,동사,적에게 덤벼들다
90,6급,덤비다,동사,상대방에게 덤비다
91,6급,덥히다,동사,물을 덥히다
92,6급,덩달다,동사,덩달아 웃다
93,6급,덮치다00,동사,불행이 덮치다
94,6급,도맡다,동사,역할을 도맡다
95,6급,돌아다보다,동사,뒤를 돌아다보다
96,6급,되뇌다,동사,입버릇처럼 되뇌다
97,6급,되새기다,동사,말씀을 되새기다
98,6급,둘러앉다,동사,밥상에 둘러앉다
99,6급,뒤덮이다,동사,눈으로 뒤덮이다
100,6급,뒤돌아보다,동사,휙 뒤돌아보다
101,6급,뒤바뀌다,동사,순서가 뒤바뀌다
102,6급,뒤섞이다,동사,여러 가지가 뒤섞이다
103,6급,뒤엉키다,동사,차들이 뒤엉키다
104,6급,뒤적이다,동사,주머니를 뒤적이다
105,6급,뒤쫓다,동사,범인을 뒤쫓다
106,6급,뒤틀리다,동사,몸이 뒤틀리다
107,6급,뒹굴다,동사,진흙탕을 뒹굴다
108,6급,드러눕다,동사,바닥에 드러눕다
109,6급,드리우다,동사,커튼이 드리우다
110,6급,들끓다,동사,벌레로 들끓다
111,6급,들뜨다,동사,들뜬 기분
112,6급,들락날락하다,동사,이곳저곳 들락날락하다
113,6급,들먹이다,동사,약점을 들먹이다
114,6급,들썩이다,동사,어깨가 들썩이다
115,6급,들어맞다,동사,예상이 들어맞다
116,6급,들어차다,동사,물이 들어차다
117,6급,들여놓다,동사,안으로 들여놓다
118,6급,들여다보이다,동사,집 안이 들여다보이다
119,6급,들이닥치다,동사,경찰들이 들이닥치다
120,6급,들이마시다02,동사,숨을 들이마시다
121,6급,들이켜다,동사,물을 들이켜다
122,6급,들추다,동사,이불을 들추다
123,6급,등지다,동사,친구와 등지다
124,6급,딛다,동사,땅에 발을 딛다
125,6급,따돌리다,동사,친구를 따돌리다
126,6급,따라나서다,동사,친구를 따라나서다
127,6급,떠넘기다,동사,책임을 떠넘기다
128,6급,떠다니다,동사,둥둥 떠다니다
129,6급,떠돌아다니다,동사,정처 없이 떠돌아 다니다
130,6급,떠밀리다,동사,밖으로 떠밀리다
131,6급,떨구다,동사,고개를 떨구다
132,6급,떨치다01,동사,이름을 떨치다
133,6급,떨치다02,동사,걱정을 떨치다
134,6급,뜨이다,동사,눈이 번쩍 뜨이다
135,6급,뜯어내다,동사,달력을 뜯어내다
136,6급,마다하다,동사,권유를 마다하다
137,6급,막론하다,동사,남녀노소를 막론하다
138,6급,말미암다,동사,부주의로 말미암다
139,6급,맞먹다,동사,맞먹는 거리
140,6급,맞붙다,동사,서로 맞붙다
141,6급,맞아떨어지다,동사,계산이 맞아떨어지다
142,6급,매기다,동사,점수를 매기다
143,6급,맴돌다,동사,주변을 맴돌다
144,6급,맺히다,동사,열매가 맺히다
145,6급,머금다,동사,물을 머금다
146,6급,멀다01,동사,눈이 멀다
147,6급,멍들다,동사,무릎이 멍들다
