번호 Number,등급 Level,어휘 Vocabulary,품사 Word class,길잡이말 Guide
1,6급,가까스로,부사,가까스로 살아남다
2,6급,가냘프다,형용사,몸이 가냘프다
3,6급,가뜩이나,부사,가뜩이나 힘든데
4,6급,가령,부사,가령 비가 온다면
5,6급,가쁘다,형용사,숨이 가쁘다
6,6급,가엾다,형용사,아이가 가엾다
7,6급,가파르다,형용사,언덕이 가파르다
8,6급,가히,부사,가히 놀랄 만하다
9,6급,각기01/각기02,명사/부사,각기 다르다
10,6급,각박하다,형용사,세상이 각박하다
11,6급,각별하다,형용사,마음이 각별하다
12,6급,각별히,부사,각별히 생각하다
13,6급,간략하다,형용사,설명이 간략하다
14,6급,감격스럽다,형용사,감격스러운 순간
15,6급,감쪽같이,부사,감쪽같이 사라지다
16,6급,갓02,부사,갓 졸업하다
17,6급,강인하다,형용사,강인한 체력
18,6급,강직하다,형용사,성품이 강직하다
19,6급,개운하다,형용사,몸이 개운하다
20,6급,거듭,부사,거듭 강조하다
21,6급,거뜬하다,형용사,거뜬한 일
22,6급,거룩하다,형용사,말씀이 거룩하다
23,6급,거북하다,형용사,속이 거북하다
24,6급,거창하다,형용사,계획이 거창하다
25,6급,거침없이,부사,거침없이 말하다
26,6급,건방지다,형용사,행동이 건방지다
27,6급,건장하다,형용사,체격이 건장하다
28,6급,걸맞다,형용사,나이에 걸맞다
29,6급,걸핏하면,부사,걸핏하면 화내다
30,6급,견고하다,형용사,제품이 견고하다
31,6급,경건하다,형용사,마음이 경건하다
32,6급,경이롭다,형용사,경이로운 광경
33,6급,고귀하다,형용사,신분이 고귀하다
34,6급,고달프다,형용사,생활이 고달프다
35,6급,고되다,형용사,일이 고되다
36,6급,고루,부사,고루 나누다
37,6급,고스란히,부사,고스란히 전하다
38,6급,고약하다,형용사,냄새가 고약하다
39,6급,고요히,부사,고요히 잠들다
40,6급,곰곰이,부사,곰곰이 생각하다
41,6급,공공연하다,형용사,공공연한 비밀
42,6급,공연히,부사,공연히 화를 내다
43,6급,공허하다,형용사,마음이 공허하다
44,6급,과감히,부사,과감히 맞서다
45,6급,과격하다,형용사,행동이 과격하다
46,6급,광범위하다,형용사,지역이 광범위하다
47,6급,광활하다,형용사,평야가 광활하다
48,6급,교묘하다,형용사,교묘한 속임수
49,6급,교활하다,형용사,성격이 교활하다
50,6급,구불구불하다00/구불구불하다,동사/형용사,길이 구불구불하다
51,6급,구태여,부사,구태여 말리지 않다
52,6급,구태의연하다,형용사,태도가 구태의연하다
53,6급,궂다,형용사,날씨가 궂다
54,6급,그나저나,부사,그나저나 다행이다
55,6급,그르다01/ 그르다02,형용사/ 동사,그른 행동
56,6급,그윽하다,형용사,향기가 그윽하다
57,6급,그지없다,형용사,기쁘기가 그지없다
58,6급,급급하다,형용사,먹고살기에 급급하다
59,6급,급기야,부사,급기야 쓰러지다
60,6급,기꺼이,부사,기꺼이 희생하다
61,6급,기껏,부사,기껏 도와 줬더니
62,6급,기묘하다,형용사,기묘한 이야기
